KRX_code,NXT_code,Name
005930,005930_NX,삼성전자
000660,000660_NX,SK하이닉스
373220,373220_NX,LG에너지솔루션
207940,207940_NX,삼성바이오로직스
012450,012450_NX,한화에어로스페이스
005935,005935_NX,삼성전자우
005380,005380_NX,현대차
329180,329180_NX,HD현대중공업
105560,105560_NX,KB금융
000270,000270_NX,기아
068270,068270_NX,셀트리온
034020,034020_NX,두산에너빌리티
042660,042660_NX,한화오션
035420,035420_NX,NAVER
055550,055550_NX,신한지주
028260,028260_NX,삼성물산
012330,012330_NX,현대모비스
035720,035720_NX,카카오
009540,009540_NX,HD한국조선해양
032830,032830_NX,삼성생명
011200,011200_NX,HMM
005490,005490_NX,POSCO홀딩스
086790,086790_NX,하나금융지주
015760,015760_NX,한국전력
196170,196170_NX,알테오젠
064350,064350_NX,현대로템
051910,051910_NX,LG화학
138040,138040_NX,메리츠금융지주
000810,000810_NX,삼성화재
402340,402340_NX,SK스퀘어
316140,316140_NX,우리금융지주
267260,267260_NX,HD현대일렉트릭
010140,010140_NX,삼성중공업
033780,033780_NX,KT&G
096770,096770_NX,SK이노베이션
006400,006400_NX,삼성SDI
010130,010130_NX,고려아연
259960,259960_NX,크래프톤
024110,024110_NX,기업은행
034730,034730_NX,SK
030200,030200_NX,KT
079550,079550_NX,LIG넥스원
323410,323410_NX,카카오뱅크
066570,066570_NX,LG전자
017670,017670_NX,SK텔레콤
003550,003550_NX,LG
018260,018260_NX,삼성에스디에스
272210,272210_NX,한화시스템
086280,086280_NX,현대글로비스
298040,298040_NX,효성중공업